transaction_amount,installments,login_attempts_last_12h,total_of_last_1h_transactions,merchant_id,time_of_day,location,is_anomaly
149.90553025670468,1,1,0,B,afternoon,USA,0
562.797829361056,1,0,2,A,morning,USA,0
86.06399365185725,1,1,1,B,afternoon,Canada,0
571.3128776691315,1,2,0,C,afternoon,USA,0
1146.571706279137,1,2,2,A,morning,Canada,0
363.23706190783696,6,1,0,C,morning,USA,0
351.8481612294562,12,1,2,B,evening,Canada,0
547.1996592826598,1,0,0,B,afternoon,USA,0
840.0062330755868,6,1,0,B,morning,Canada,0
309.35930668788575,12,1,3,B,afternoon,Canada,0
1928.2476234966775,6,2,1,B,afternoon,USA,0
16.94732994064858,1,0,3,A,morning,Canada,0
320.342324839551,6,1,0,C,morning,USA,0
763.7711756658766,12,1,2,C,morning,USA,0
483.6759139159149,12,1,1,A,afternoon,USA,0
398.26196879632215,6,2,1,A,evening,USA,0
242.05340332467583,6,1,0,C,morning,USA,0
18.32807894915443,1,0,0,A,afternoon,USA,0
427.8732326859434,6,2,3,B,morning,USA,0
16.457189301926004,12,0,1,B,afternoon,USA,0
488.2982140339308,12,1,0,A,morning,USA,0
859.7843658541914,6,1,0,A,morning,USA,0
252.09510917573317,6,1,1,A,morning,USA,0
198.85117605908644,6,3,1,C,morning,USA,0
468.264799145544,1,1,0,A,evening,USA,0
226.3732874732579,6,2,2,C,morning,Canada,0
552.1417726008129,1,1,1,B,afternoon,USA,0
66.63802948475589,12,2,5,B,morning,USA,0
2434.4904518612584,1,1,0,C,afternoon,Canada,0
3680.9738886700475,6,1,1,A,evening,USA,0
65.34383410714175,1,3,0,C,evening,Canada,0
185.7998900684849,6,0,0,A,morning,USA,0
97.054192526107,12,0,2,A,morning,Canada,0
207.25380288571193,1,2,0,C,evening,Canada,0
593.884706502579,1,1,2,C,afternoon,Canada,0
415.75272719302234,6,1,0,C,morning,Canada,0
110.6139801085517,6,1,2,A,afternoon,Canada,0
1046.021803790978,12,1,0,B,morning,USA,0
4029.544030332477,6,0,1,C,afternoon,USA,0
156.76888429854455,6,0,1,A,afternoon,Canada,0
182.02925461669636,6,0,1,B,morning,USA,0
688.5983041997565,1,0,2,A,morning,USA,0
408.38675343545253,1,1,1,C,afternoon,Canada,0
927.3633935071271,12,3,2,C,afternoon,USA,0
112.47037816690822,1,0,1,C,afternoon,USA,0
102.41771216062062,1,3,1,C,afternoon,USA,0
138.55752136122115,6,1,1,C,morning,USA,0
1128.9920222339906,1,3,0,A,evening,USA,0
360.457599624752,6,0,0,B,morning,Canada,0
5703.581813597286,6,2,4,A,morning,Canada,0
264.90015515832147,1,1,0,A,afternoon,USA,0
1471.2372690771138,1,0,1,B,morning,Canada,0
196.29081844113892,1,0,1,A,morning,Canada,0
327.9822195969235,1,0,0,B,evening,Canada,0
30.84420633311483,12,0,1,C,afternoon,Canada,0
390.5081808314888,6,0,2,C,morning,USA,0
843.9211572102502,6,1,1,A,evening,USA,0
103.34032162089578,6,1,3,A,evening,USA,0
659.8504392419471,12,1,0,C,afternoon,Canada,0
778.1853924865425,1,0,1,B,evening,Canada,0
190.6345570738114,1,1,1,B,evening,Canada,0
1546.6323622124787,1,0,3,A,afternoon,USA,0
139.1117337370646,6,1,0,A,afternoon,Canada,0
591.0147759243732,12,1,1,A,afternoon,USA,0
323.2244996974415,1,0,1,B,evening,USA,0
1432.845653585733,6,0,0,C,afternoon,USA,0
137.85993087382516,1,3,2,C,evening,USA,0
251.25754293760784,6,0,2,B,morning,USA,0
880.207733237624,12,1,0,B,morning,Canada,0
7366.879691465832,6,0,0,B,morning,Canada,0
170.4585155655035,6,0,2,C,morning,USA,0
294.583933304291,1,1,3,B,evening,USA,0
356.07040524791563,1,2,1,A,morning,USA,0
32.48601262826487,6,0,2,C,afternoon,Canada,0
855.6689186616298,1,2,0,B,morning,Canada,0
248.7945491375557,1,2,0,C,afternoon,Canada,0
186.512150941963,1,1,1,C,afternoon,Canada,0
2021.0223764255222,6,3,1,C,morning,Canada,0
222.38815020672072,6,5,2,A,afternoon,Canada,0
98.32840217233017,1,0,0,A,morning,Canada,0
1063.646546198031,12,1,0,C,evening,Canada,0
1635.6634943343001,6,0,3,B,evening,USA,0
1427.3263942245987,1,1,2,B,evening,USA,0
5293.161369566803,6,1,0,C,evening,Canada,0
2410.896273237556,6,1,1,C,morning,USA,0
1675.038706066358,12,0,1,A,afternoon,Canada,0
736.9997413938981,12,1,1,C,morning,Canada,0
